,Avg. Score,Best Description
Elizabeth_II : March,8.5,Involved in scandal regarding Meghan Markle and her baby
Donald Trump: January,8.75,Incited violent protests at the Capital due to tweets
Godzilla vs. Kong: March,8.75,"New rendition of the movie was just released, causing heated debate"
